customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount
7.924622039528314,56274,4.248495242049359,32,5,0,1,5.955347993263144
8.850880969743317,0,4.553876891600541,13,42,0,8,7.032151894405436
9.46408541669198,48767,4.6913478822291435,18,38,0,2,6.341191844194962
8.942050623965066,0,4.672828834461906,18,65,0,7,6.274538538644444
7.942608325018515,43836,4.30406509320417,12,44,0,1,4.935415065666072
9.018852670134983,62902,4.248495242049359,14,94,0,2,5.077564966651304
8.590796497218744,55350,4.219507705176107,0,13,0,9,5.776413165691109
8.884208532241303,0,4.624972813284271,0,68,0,4,5.897235402774199
10.091149160012579,14072,4.276666119016055,13,3,0,2,6.238715173765425
8.90777178786511,28812,4.543294782270004,17,7,0,8,6.055677626232545
8.463790731565343,0,4.219507705176107,23,5,0,3,6.180844468269383
9.01166954054113,0,4.709530201312334,27,87,0,3,6.270988431858299
9.082483932359322,77026,4.709530201312334,9,82,2,3,6.159158255437541
9.08477929571055,99845,4.709530201312334,23,25,1,8,6.270988431858299
8.59145274700918,83689,4.2626798770413155,21,10,2,8,5.730551408248253
8.917865415584348,24599,4.174387269895637,12,50,1,2,3.782375967491893
7.8508311926907925,25049,4.219507705176107,14,7,0,1,6.1208359508396954
8.280518912280455,28855,4.624972813284271,12,59,0,1,6.47457261040097
8.650207745627794,51148,4.290459441148391,9,1,0,7,5.736513147342761
9.007442616043688,66140,4.624972813284271,11,21,0,3,6.185797016568072
7.963129905321957,57749,4.31748811353631,31,21,0,1,5.875492370855561
8.020530649686934,13789,4.382026634673881,8,49,0,1,5.940697430054329
10.091149160012579,14072,4.276666119016055,13,3,0,2,6.238715173765425
7.804329306236653,0,4.30406509320417,4,44,3,1,6.319646735682724
7.780348172558573,17870,4.127134385045092,30,91,0,1,6.087229169092361
8.66614167376237,97541,4.290459441148391,22,1,0,3,5.9666210010027205
8.280805341551575,0,4.718498871295094,15,47,0,1,6.684861696423135
8.584462338997698,10511,4.941642422609304,33,64,0,1,6.248503022009241
9.465258532119293,86584,4.718498871295094,33,54,2,2,6.280021236970423
8.082204665052508,75690,4.394449154672439,17,44,1,1,5.953243334287785
7.806119706484777,23158,4.1588830833596715,4,6,1,1,5.778562258950746
9.850954337659516,65999,5.472270673671475,1,14,0,6,6.424751948981074
8.458784398436832,0,4.189654742026425,19,56,0,3,5.733829474861828
8.521162350472245,54500,4.1588830833596715,28,17,0,6,5.715052066914432
8.503888342142163,37260,4.143134726391533,19,42,0,8,2.799576321284202
8.656125179909719,68987,4.276666119016055,11,40,0,6,5.325325087449809
9.539121368839597,42305,4.770684624465665,10,62,0,2,6.332568896055757
8.90679672956167,65706,4.5217885770490405,19,86,0,8,6.081762185088762
8.036260975393798,0,4.51085950651685,7,79,0,1,6.47543271670409
7.833058513967653,53243,4.204692619390966,4,15,2,1,5.0651098997426685
7.883469642596301,0,4.2626798770413155,7,1,1,1,6.184805450612733
7.927340605127341,50071,4.276666119016055,3,32,0,1,2.991670786871788
8.278937619041942,60021,4.605170185988092,12,28,0,1,6.784312193547338
9.4118826613082,43244,4.6443908991413725,15,16,0,2,6.2053655170552595
